BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/26/2017,AP,E0480373,FIRST CHOICE COFFEE SERVICES,1/13/2017,1/13/2017,FOOD & BEVERAGE,1150.28,2017,FIRST CHOICE COFFEE SERVICES
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-BUCA DI BEPPO,1/3/2017,1/28/2017,FOOD & BEVERAGE,1776.77,2017,CITI PCARD-BUCA DI BEPPO
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CHICK-FIL-A,1/3/2017,1/28/2017,FOOD & BEVERAGE,1443.5,2017,CITI PCARD-CHICK-FIL-A
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CORNER BAKERY,1/3/2017,1/28/2017,FOOD & BEVERAGE,1741.7,2017,CITI PCARD-CORNER BAKERY
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/21/2017,AP,912200,CITI PCARD-CORNER BAKERY,1/29/2017,2/28/2017,FOOD & BEVERAGE,1032.5,2017,CITI PCARD-CORNER BAKERY
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/28/2017,AP,E0499777,DESIGN CUISINE,2/28/2017,2/28/2017,FOOD & BEVERAGE,3720,2017,DESIGN CUISINE
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/30/2017,AP,E0501241,DESIGN CUISINE,1/3/2017,1/3/2017,FOOD & BEVERAGE,7460.41,2017,DESIGN CUISINE
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/19/2017,AP,900647,CITI PCARD-CHICK-FIL-A,11/29/2016,12/28/2016,FOOD & BEVERAGE,2121.55,2016,CITI PCARD-CHICK-FIL-A
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/16/2017,AP,E0495670,DESIGN CUISINE,12/6/2016,12/6/2016,FOOD & BEVERAGE,5817.31,2016,DESIGN CUISINE
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/17/2017,AP,E0495669,DESIGN CUISINE,11/30/2016,11/30/2016,FOOD & BEVERAGE,13624,2016,DESIGN CUISINE
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3/7/2017,AP,E0492360,OCCASIONS CATERERS INC,1/3/2017,1/3/2017,FOOD & BEVERAGE,16900,2017,OCCASIONS CATERERS INC
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/17/2017,AP,E0477476,OCCASIONS CATERERS INC,12/28/2016,12/28/2016,FOOD & BEVERAGE,7075,2016,OCCASIONS CATERERS INC
,OFFICE OF THE MINORITY LEADER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/17/2017,AP,E0477479,OCCASIONS CATERERS INC,12/6/2016,12/6/2016,FOOD & BEVERAGE,8505,2016,OCCASIONS CATERERS INC
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/3/2017,AP,E0483973,RODRIGUEZ-CIAMPOLI FABIOLA,1/27/2017,1/27/2017,FOOD & BEVERAGE,1081.81,2017,RODRIGUEZ-CIAMPOLI FABIOLA
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-BETHESDA BAGELS,1/3/2017,1/28/2017,FOOD & BEVERAGE,2292.67,2017,CITI PCARD-BETHESDA BAGELS
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CVC CATERING,1/3/2017,1/28/2017,FOOD & BEVERAGE,5672.5,2017,CITI PCARD-CVC CATERING
,DEMOCRATIC CAUCUS,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-HARRIS TEETER,1/3/2017,1/28/2017,FOOD & BEVERAGE,1031.12,2017,CITI PCARD-HARRIS TEETER
